query,path,first,path_first,distance_1,second,path_second,distance_2,third,path_third,distance_3,fourth,path_fourth,distance_4,time
3pietro_102,/home/patryk/projekt/test/3pietro_102/img_08-16-2022_14_46_31_rotated_90_COUNTERCLOCKWISE.png,3pietro_102,/home/patryk/projekt/embedings/3pietro_102/img_08-16-2022_14_46_41.png,0.044371136,3pietro_101,/home/patryk/projekt/embedings/3pietro_101/img_08-16-2022_14_42_23.png,0.12877175,3pietro_105,/home/patryk/projekt/embedings/3pietro_105/img_08-16-2022_14_50_36.png,0.15288818,parter_111,/home/patryk/projekt/embedings/parter_111/img_08-17-2022_14_59_12.png,0.17077611,0.7981483936309814
3pietro_51,/home/patryk/projekt/test/3pietro_51/img_08-16-2022_13_25_08.png,3pietro_51,/home/patryk/projekt/embedings/3pietro_51/img_08-16-2022_13_24_28.png,0.02911774,3pietro_52,/home/patryk/projekt/embedings/3pietro_52/img_08-16-2022_13_26_05.png,0.15671071,3pietro_50,/home/patryk/projekt/embedings/3pietro_50/img_08-16-2022_13_22_53.png,0.16311103,3pietro_53,/home/patryk/projekt/embedings/3pietro_53/img_08-16-2022_13_27_07.png,0.19280982,1.3325583934783936
parter_96,/home/patryk/projekt/test/parter_96/img_08-17-2022_14_33_20_rotated_90_CLOCKWISE.png,parter_96,/home/patryk/projekt/embedings/parter_96/img_08-17-2022_14_33_12.png,0.07837507,3pietro_102,/home/patryk/projekt/embedings/3pietro_102/img_08-16-2022_14_46_41.png,0.20840351,parter_112,/home/patryk/projekt/embedings/parter_112/img_08-17-2022_15_00_57.png,0.22829862,3pietro_36,/home/patryk/projekt/embedings/3pietro_36/img_08-16-2022_11_55_14.png,0.23141345,1.328723669052124
3pietro_84,/home/patryk/projekt/test/3pietro_84/img_08-16-2022_14_13_43.png,3pietro_84,/home/patryk/projekt/embedings/3pietro_84/img_08-16-2022_14_13_33.png,0.0071861306,3pietro_15,/home/patryk/projekt/embedings/3pietro_15/img_08-16-2022_11_13_20.png,0.16329263,3pietro_24,/home/patryk/projekt/embedings/3pietro_24/img_08-16-2022_11_31_40.png,0.18990247,3pietro_85,/home/patryk/projekt/embedings/3pietro_85/img_08-16-2022_14_15_24.png,0.20183218,0.7735645771026611
parter_7,/home/patryk/projekt/test/parter_7/img_08-17-2022_10_41_41.png,parter_7,/home/patryk/projekt/embedings/parter_7/img_08-17-2022_10_41_31.png,0.025188558,parter_8,/home/patryk/projekt/embedings/parter_8/img_08-17-2022_10_44_28.png,0.13713247,parter_4,/home/patryk/projekt/embedings/parter_4/img_08-17-2022_10_35_46.png,0.14749047,parter_6,/home/patryk/projekt/embedings/parter_6/img_08-17-2022_10_39_27.png,0.16069837,0.7675158977508545
parter_144,/home/patryk/projekt/test/parter_144/img_08-17-2022_16_34_27_rotated_90_COUNTERCLOCKWISE.png,parter_144,/home/patryk/projekt/embedings/parter_144/img_08-17-2022_16_34_09.png,0.08040227,parter_105,/home/patryk/projekt/embedings/parter_105/img_08-17-2022_14_51_38.png,0.18779479,parter_97,/home/patryk/projekt/embedings/parter_97/img_08-17-2022_14_35_20.png,0.19732696,parter_90,/home/patryk/projekt/embedings/parter_90/img_08-17-2022_14_22_09.png,0.19913654,1.3305292129516602
3pietro_42,/home/patryk/projekt/test/3pietro_42/img_08-16-2022_12_02_19.png,3pietro_42,/home/patryk/projekt/embedings/3pietro_42/img_08-16-2022_12_02_50.png,0.018965226,3pietro_40,/home/patryk/projekt/embedings/3pietro_40/img_08-16-2022_12_00_21.png,0.07094061,3pietro_73,/home/patryk/projekt/embedings/3pietro_73/img_08-16-2022_13_56_13.png,0.12809291,3pietro_37,/home/patryk/projekt/embedings/3pietro_37/img_08-16-2022_11_56_40.png,0.13693494,0.7782306671142578
parter_50,/home/patryk/projekt/test/parter_50/img_08-17-2022_13_23_19_rotated_90_COUNTERCLOCKWISE.png,parter_50,/home/patryk/projekt/embedings/parter_50/img_08-17-2022_13_23_49.png,0.05285314,parter_52,/home/patryk/projekt/embedings/parter_52/img_08-17-2022_13_26_54.png,0.1215875,parter_45,/home/patryk/projekt/embedings/parter_45/img_08-17-2022_11_54_43.png,0.12933807,parter_51,/home/patryk/projekt/embedings/parter_51/img_08-17-2022_13_25_39.png,0.13403836,0.7661492824554443
3pietro_77,/home/patryk/projekt/test/3pietro_77/img_08-16-2022_14_02_16.png,3pietro_77,/home/patryk/projekt/embedings/3pietro_77/img_08-16-2022_14_02_26.png,0.04793425,3pietro_89,/home/patryk/projekt/embedings/3pietro_89/img_08-16-2022_14_20_57.png,0.20490088,3pietro_88,/home/patryk/projekt/embedings/3pietro_88/img_08-16-2022_14_19_58.png,0.24732132,3pietro_70,/home/patryk/projekt/embedings/3pietro_70/img_08-16-2022_13_51_48.png,0.24906673,1.331024408340454
parter_59,/home/patryk/projekt/test/parter_59/img_08-17-2022_13_37_24_rotated_90_CLOCKWISE.png,parter_59,/home/patryk/projekt/embedings/parter_59/img_08-17-2022_13_37_54.png,0.0735263,parter_58,/home/patryk/projekt/embedings/parter_58/img_08-17-2022_13_35_26.png,0.17085764,parter_61,/home/patryk/projekt/embedings/parter_61/img_08-17-2022_13_40_08.png,0.17419323,parter_57,/home/patryk/projekt/embedings/parter_57/img_08-17-2022_13_33_28.png,0.19745305,0.787647008895874
